                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.52857,                0.49291,                0.95009,                0.95556,                0.93956,                0.96965,                0.84251,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                     72,                0.52605,                0.50677,                0.95276,                0.95713,                0.94318,                0.96787,                0.83972,                      0,                    inf,                      0,               0.005314,               0.005314,               0.005314
                     73,                0.51848,                0.49409,                0.94769,                0.96138,                 0.9236,                 0.9653,                0.83725,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     74,                0.51629,                0.49176,                0.95051,                0.95457,                0.94382,                0.96724,                0.84001,                      0,                    inf,                      0,               0.005182,               0.005182,               0.005182
                     75,                0.51735,                0.49484,                0.94842,                0.95009,                0.93496,                 0.9661,                0.84027,                      0,                    inf,                      0,               0.005116,               0.005116,               0.005116
                     76,                0.51963,                0.47935,                0.94776,                0.96324,                0.93868,                0.96954,                0.83823,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     77,                 0.5242,                 0.4921,                0.95081,                0.95664,                0.93654,                0.96839,                0.83819,                      0,                    inf,                      0,               0.004984,               0.004984,               0.004984
                     78,                 0.5155,                0.48216,                0.94816,                0.95543,                0.93672,                0.97269,                0.84012,                      0,                    inf,                      0,               0.004918,               0.004918,               0.004918
                     79,                0.50914,                0.47791,                0.94481,                0.95857,                0.93409,                0.96942,                0.83945,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     80,                0.51264,                0.48075,                0.94837,                 0.9542,                0.94808,                0.96977,                 0.8414,                      0,                    inf,                      0,               0.004786,               0.004786,               0.004786
                     81,                0.50645,                0.47209,                0.94522,                0.95517,                0.94295,                0.97059,                0.83965,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                     82,                0.51136,                0.48007,                0.94932,                0.96133,                 0.9442,                0.97188,                0.84085,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     83,                0.50798,                0.47327,                0.94088,                 0.9538,                 0.9456,                 0.9714,                0.84499,                      0,                    inf,                      0,               0.004588,               0.004588,               0.004588
                     84,                0.50338,                0.46939,                0.94367,                0.95838,                0.94846,                 0.9744,                0.84177,                      0,                    inf,                      0,               0.004522,               0.004522,               0.004522
                     85,                0.49511,                0.47238,                0.94487,                0.95365,                0.94256,                0.97421,                0.84685,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     86,                0.49852,                0.46347,                 0.9386,                0.94692,                 0.9419,                0.96976,                0.84206,                      0,                    inf,                      0,                0.00439,                0.00439,                0.00439
                     87,                0.51148,                0.47254,                0.94602,                0.96439,                0.92743,                0.97221,                0.84263,                      0,                    inf,                      0,               0.004324,               0.004324,               0.004324
                     88,                0.50061,                0.45715,                0.94361,                0.95885,                0.94509,                0.97202,                0.84459,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     89,                0.50139,                0.45316,                0.94356,                0.96197,                 0.9276,                0.97083,                0.84012,                      0,                    inf,                      0,               0.004192,               0.004192,               0.004192
                     90,                0.50209,                0.45172,                0.94158,                0.95276,                0.95752,                 0.9726,                0.84781,                      0,                    inf,                      0,               0.004126,               0.004126,               0.004126
                     91,                0.49215,                0.44955,                0.93797,                 0.9479,                 0.9454,                0.97035,                 0.8464,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     92,                0.49106,                0.45409,                0.93804,                0.94844,                0.95482,                0.97106,                0.84437,                      0,                    inf,                      0,               0.003994,               0.003994,               0.003994
                     93,                0.49173,                0.44981,                0.93854,                0.94869,                0.94696,                0.97329,                0.84186,                      0,                    inf,                      0,               0.003928,               0.003928,               0.003928
                     94,                0.48586,                  0.442,                0.93504,                0.95699,                0.94496,                0.97252,                 0.8439,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     95,                0.48844,                0.43775,                0.93944,                0.95051,                0.94201,                0.97084,                0.84153,                      0,                    inf,                      0,               0.003796,               0.003796,               0.003796
                     96,                0.48211,                0.43887,                0.93715,                0.94164,                0.95526,                0.97295,                0.84176,                      0,                    inf,                      0,                0.00373,                0.00373,                0.00373
                     97,                0.48378,                 0.4346,                 0.9367,                0.95954,                0.93587,                0.97091,                0.84496,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     98,                0.48139,                0.43924,                0.93784,                0.95884,                0.93802,                0.96903,                0.84431,                      0,                    inf,                      0,               0.003598,               0.003598,               0.003598
                     99,                 0.4758,                0.43594,                0.93857,                0.94996,                0.93811,                0.97177,                0.84809,                      0,                    inf,                      0,               0.003532,               0.003532,               0.003532
                    100,                0.47229,                0.41732,                0.93269,                0.96234,                0.93875,                0.97417,                0.84839,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    101,                0.47423,                0.43012,                0.93265,                0.95385,                0.94997,                0.97294,                0.84838,                      0,                    inf,                      0,                 0.0034,                 0.0034,                 0.0034
                    102,                0.46865,                0.41914,                0.93142,                0.95852,                0.93896,                0.97368,                0.84561,                      0,                    inf,                      0,               0.003334,               0.003334,               0.003334
                    103,                0.46938,                0.40996,                0.92791,                0.94982,                 0.9425,                0.97036,                0.84858,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    104,                0.47317,                0.41722,                0.93291,                0.95124,                0.94143,                0.97136,                0.84833,                      0,                    inf,                      0,               0.003202,               0.003202,               0.003202
